Id,plot_Id,crop_Id,D05_times,D_curr_crop,D_repeat_times_count
86,2,3,1,vegetable,1
87,1,1,1,maize,1
87,2,1,1,other,1
88,1,1,1,maize,1
88,2,1,1,maize,1
89,1,1,1,maize,1
89,2,1,1,tomatoes,1
90,1,1,1,maize,1
90,2,1,1,maize,1
90,3,1,1,tomatoes,1
91,1,1,1,tomatoes,1
91,2,1,1,maize,1
91,3,1,1,beans,1
92,1,1,1,maize,1
92,2,1,1,sorghum,1
92,3,1,1,peanut,1
92,4,1,1,cabbage,1
92,5,1,1,tomatoes,1
92,6,1,1,vegetable,1
93,1,1,1,maize,1
93,2,1,1,maize,1
93,2,2,1,other,1
94,1,1,1,maize,1
94,2,1,1,beans,1
94,2,2,1,,1
94,3,1,1,tomatoes,1
95,1,1,1,maize,1
95,2,1,1,maize,1
95,2,2,1,beans,1
95,2,3,1,vegetable,1
95,2,4,1,other,1
96,1,1,1,maize,1
96,2,1,1,beans,1
96,2,2,1,tomatoes,1
97,1,1,1,maize,1
97,1,2,1,sorghum,1
97,2,1,1,beans,1
97,2,2,1,bananas,1
97,2,3,1,vegetable,1
97,2,4,1,other,1
98,1,1,1,maize,1
98,2,1,1,tomatoes,1
98,2,2,1,onion,1
99,1,1,1,maize,1
99,2,1,1,maize,1
99,2,2,1,beans,1
99,2,3,1,tomatoes,1
99,2,4,1,onion,1
100,1,1,1,maize,1
100,1,2,1,sorghum,1
100,1,3,1,tomatoes,1
100,1,4,1,onion,1
100,1,5,1,vegetable,1
101,1,1,1,maize,1
101,1,2,1,sorghum,1
101,2,1,1,beans,1
101,2,2,1,tomatoes,1
101,3,1,1,beans,1
101,3,2,1,tomatoes,1
101,3,3,1,vegetable,1
101,4,1,1,tomatoes,1
101,4,2,2,baby_corn,2
102,1,1,1,maize,1
102,2,1,1,tomatoes,1
102,2,2,1,vegetable,1
103,1,1,1,baby_corn,1
103,2,1,1,piri_piri,1
103,3,1,1,maize,1
103,4,1,1,cabbage,1
103,5,1,1,tomatoes,1
104,1,1,1,maize,1
104,2,1,1,pigeonpeas,1
104,3,1,1,sorghum,1
105,1,1,1,maize,1
105,2,1,1,maize,1
105,3,1,1,maize,1
106,1,1,1,maize,1
106,2,1,1,beans,1
106,2,2,1,onion,1
106,3,1,1,other,1
107,1,1,1,maize,1
108,1,1,1,maize,1
108,2,1,1,beans,1
108,3,1,1,tomatoes,1
108,3,2,1,onion,1
108,3,3,1,vegetable,1
108,3,4,1,cucumber,1
109,1,1,1,maize,1
109,1,2,1,potatoes,1
109,2,1,1,maize,1
110,1,1,1,maize,1
110,2,1,1,maize,1
111,1,1,1,maize,1
111,1,2,1,sorghum,1
111,2,1,1,maize,1
111,3,1,1,vegetable,1
112,1,1,1,maize,1
113,1,1,1,maize,1
114,1,1,1,maize,1
114,2,1,1,tomatoes,1
115,1,1,1,maize,1
115,2,1,1,maize,1
115,3,1,1,beans,1
115,3,2,1,tomatoes,1
115,3,3,1,piri_piri,1
116,1,1,1,maize,1
116,2,1,1,other,1
117,1,1,1,maize,1
117,2,1,1,sorghum,1
118,1,1,1,maize,1
118,2,1,1,beans,1
118,3,1,1,tomatoes,1
119,1,1,1,maize,1
119,2,1,1,beans,1
120,1,1,1,tomatoes,1
120,2,1,1,maize,1
120,3,1,1,maize,1
121,1,1,1,maize,1
121,2,1,1,tomatoes,1
122,1,1,1,maize,1
122,2,1,1,tomatoes,1
122,3,1,1,tomatoes,1
123,1,1,1,maize,1
123,2,1,1,tomatoes,1
123,2,2,1,vegetable,1
124,1,1,1,maize,1
124,2,1,1,piri_piri,1
124,3,1,1,baby_corn,1
125,1,1,1,tomatoes,1
125,2,1,1,maize,1
126,1,1,1,tomatoes,1
126,2,1,1,maize,1
126,3,1,1,baby_corn,1
127,1,1,1,maize,1
127,1,2,1,beans,1
127,1,3,1,peanut,1
127,2,1,1,tomatoes,1
128,1,1,1,maize,1
128,2,1,1,tomatoes,1
128,3,1,1,cabbage,1
128,4,1,1,maize,1
129,1,1,1,maize,1
129,2,1,1,tomatoes,1
130,1,1,1,maize,1
130,2,1,1,vegetable,1
131,1,1,1,maize,1
131,2,1,1,maize,1
132,1,1,1,peanut,1
132,1,2,1,manioc,1
132,2,1,1,beans,1
133,1,1,1,maize,1
133,2,1,1,pigeonpeas,1
